at,candidate_id,ticket_id,state,decision,priority,author,likes,comments,posted_at_iso,seed_url,short_reason
"2025-10-16T15:45:41.795Z","CAND_798639901c0adaf79cede3d2d1ac4f0d318e92d9","b9550959-b4d3-46c9-8e16-4f82eae845c7","DONE","APPROVE","P1","ftcontrolyuan",319,211,"2025-07-31T07:17:42Z","https://www.threads.net/@ftcontrolyuan/post/DMw3PmZzLSw","宣稱普發一萬元取消並呼籲823投票不同意罷免，指出行政院提釋憲"
"2025-10-16T15:45:45.298Z","CAND_127afd69ded842f02bfc373581e27b4f3fd9754c","9ba46ff8-b998-4994-ac3f-fdbde909d655","DONE","APPROVE","P1","littl.ehow",1619,491,"2025-07-31T04:12:38Z","https://www.threads.net/@littl.ehow/post/DMwiELAxjTs","質疑年輕人對台灣民主挫敗的嘲笑，並反思教育問題。"
"2025-10-16T16:53:15.670Z","CAND_47f361b98b0631333ec50b994b142bd90e549d65","749528ba-ac05-44f3-ad9b-efcf0aab585c","DONE","APPROVE","P1","chnyu._12",696,89,"2025-10-01T08:55:03Z","https://www.threads.net/@chnyu._12/post/DPQrq6dEk4X","針對政治人物與政黨的評論，具體立場且能引發討論"
"2025-10-16T16:53:33.454Z","CAND_7f446e784ed33d3fb684694ca548d9a35a1a17a1","a12bce76-d6b0-4151-a2cf-5118b1631fa3","DONE","APPROVE","P1","yisan0519",2033,90,"2025-09-30T17:21:19Z","https://www.threads.net/@yisan0519/post/DPPA0CMD-3-","批判狗仔破壞民主與新聞價值，強調新聞人應求真與平衡報導。"
"2025-10-16T16:53:46.295Z","CAND_5f7c8ea8f8afac6fe52ae12e4c4dedaa1b947332","8f9852e6-ae5c-4d57-8370-e9f92c3b28a3","DONE","APPROVE","P1","victor31429",4260,224,"2025-09-29T04:46:21Z","https://www.threads.net/@victor31429/post/DPLFnqUj8zK","質疑花蓮縣府遲至中央協調會才處理便當，暗含推諉責任的批評。"
"2025-10-16T16:53:51.709Z","CAND_6bc02b556f08882a711b2eaf725b16e017f9ddc9","390363bd-8c1c-4ed6-a937-e851083b62a0","DONE","APPROVE","P1","zhlmimi",3227,124,"2025-09-29T05:10:50Z","https://www.threads.net/@zhlmimi/post/DPLIa7yiVB7","質疑黃國昌與記者謝幸恩之間的責任分配，具有政治指涉與討論性"
"2025-10-16T16:54:05.939Z","CAND_baea495b2a47482c573350fd334229be9db2729a","55ffaf1d-c8fd-4333-8d83-2e1c1060b39b","DONE","APPROVE","P1","pihsinyeh",1663,57,"2025-07-31T06:44:31Z","https://www.threads.net/@pihsinyeh/post/DMwzcomuylr","顏寬恒因貪污罪一審被判有期徒刑7年10個月並褫奪公權3年。"
"2025-10-16T16:54:10.979Z","CAND_ddf85a0b1677057f07b7d2a3b4af90be1ef2baba","699be2ab-33d1-43c8-bef6-1415dc9fd2e9","DONE","APPROVE","P1","buddhermit",2774,82,"2025-07-31T06:10:38Z","https://www.threads.net/@buddhermit/post/DMwvkbOhhq6","敘述者轉述母女討論台中四萬是否為假消息並質疑差額來源。"
"2025-10-16T16:54:24.789Z","CAND_02e9f77d5ff8218ea38d554eb25ac393f8765b2d","0706f3db-7e94-484b-a538-e7ca3d264c0c","DONE","APPROVE","P1","vctsaiu",257,50,"2025-07-31T06:19:23Z","https://www.threads.net/@vctsaiu/post/DMwwkerzS74","批評法官以個人心證認定高虹安抄襲、質疑誣告構成要件改變並暗指新竹有政治保護。"
"2025-10-16T16:54:24.791Z","CAND_3bb2f504ab85a8a855a0fdef7e49d7bdc9f52fa7","97857c41-f293-4925-b3e7-3575322fc531","DONE","APPROVE","P1","chen_tung_hao",1511,41,"2025-09-29T07:50:48Z","https://www.threads.net/@chen_tung_hao/post/DPLaug5E-0m","主張媒體狗仔以爆料為本，而政治狗仔以鬥爭為本。"
"2025-10-16T16:54:36.334Z","CAND_7e8766fe5cffd2e4f17519d446be913a30558008","435b9800-d5a1-4cbd-9bfa-bc39e197b85f","DONE","APPROVE","P1","victor31429",726,36,"2025-09-29T14:18:55Z","https://www.threads.net/@victor31429/post/DPMHJQfj04D","針對立委黃國昌與鏡傳媒的相互指控，內容帶有明確批評立場且易引發討論。"
